,,,,,,,Daily Price Arrival Report-01-06-2026 to 08-07-2026 for Andhra Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,200.00","1,900.00","1,500.00",Rs./Quintal,610.00,Metric Tonnes,03-07-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,700.00","3,100.00","2,300.00",Rs./Quintal,165.00,Metric Tonnes,03-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,200.00","2,300.00","1,900.00",Rs./Quintal,661.00,Metric Tonnes,02-07-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,600.00","2,800.00","2,000.00",Rs./Quintal,124.00,Metric Tonnes,02-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,300.00","2,500.00","2,000.00",Rs./Quintal,659.00,Metric Tonnes,01-07-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,600.00","3,200.00","2,700.00",Rs./Quintal,132.00,Metric Tonnes,01-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,160.00","1,600.00","1,400.00",Rs./Quintal,230.68,Metric Tonnes,30-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,960.00,"1,440.00","1,240.00",Rs./Quintal,219.83,Metric Tonnes,29-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,920.00,"1,200.00","1,040.00",Rs./Quintal,92.35,Metric Tonnes,28-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,040.00","1,600.00","1,200.00",Rs./Quintal,220.88,Metric Tonnes,27-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,120.00","1,920.00","1,520.00",Rs./Quintal,213.30,Metric Tonnes,26-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,160.00","1,800.00","1,400.00",Rs./Quintal,193.98,Metric Tonnes,25-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,Grade A,"1,800.00","1,800.00","1,800.00",Rs./Quintal,48.50,Metric Tonnes,25-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,120.00","1,920.00","1,520.00",Rs./Quintal,137.23,Metric Tonnes,24-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,Grade A,"1,800.00","1,800.00","1,800.00",Rs./Quintal,60.00,Metric Tonnes,23-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,400.00","2,200.00","1,800.00",Rs./Quintal,53.25,Metric Tonnes,22-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,200.00","2,000.00","1,600.00",Rs./Quintal,28.28,Metric Tonnes,21-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,120.00","1,920.00","1,520.00",Rs./Quintal,41.55,Metric Tonnes,20-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,400.00","2,200.00","1,800.00",Rs./Quintal,30.08,Metric Tonnes,19-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,Grade A,"1,800.00","2,600.00","2,200.00",Rs./Quintal,7.38,Metric Tonnes,18-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,920.00","2,720.00","2,320.00",Rs./Quintal,29.08,Metric Tonnes,17-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,800.00","2,600.00","2,200.00",Rs./Quintal,28.83,Metric Tonnes,16-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"2,500.00","3,000.00","2,800.00",Rs./Quintal,28.68,Metric Tonnes,15-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,17.08,Metric Tonnes,14-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,28.98,Metric Tonnes,12-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"2,880.00","3,280.00","3,080.00",Rs./Quintal,29.08,Metric Tonnes,11-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"3,200.00","3,600.00","3,400.00",Rs./Quintal,29.58,Metric Tonnes,10-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"3,800.00","4,200.00","4,000.00",Rs./Quintal,32.68,Metric Tonnes,09-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,960.00,"1,360.00","1,160.00",Rs./Quintal,260.08,Metric Tonnes,08-07-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"3,600.00","4,000.00","3,800.00",Rs./Quintal,32.98,Metric Tonnes,08-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,960.00,"1,200.00","1,080.00",Rs./Quintal,258.95,Metric Tonnes,07-07-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"3,200.00","3,600.00","3,400.00",Rs./Quintal,17.45,Metric Tonnes,07-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,920.00,"1,160.00","1,040.00",Rs./Quintal,250.08,Metric Tonnes,06-07-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"2,840.00","3,240.00","3,040.00",Rs./Quintal,32.58,Metric Tonnes,06-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,920.00,"1,280.00","1,080.00",Rs./Quintal,99.98,Metric Tonnes,05-07-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,32.10,Metric Tonnes,05-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,960.00,"1,400.00","1,200.00",Rs./Quintal,258.90,Metric Tonnes,04-07-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"2,200.00","3,000.00","2,600.00",Rs./Quintal,33.10,Metric Tonnes,04-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,000.00","1,800.00","1,400.00",Rs./Quintal,235.78,Metric Tonnes,03-07-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"2,600.00","3,000.00","2,800.00",Rs./Quintal,33.95,Metric Tonnes,03-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,200.00","2,000.00","1,600.00",Rs./Quintal,216.88,Metric Tonnes,02-07-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,33.03,Metric Tonnes,02-06-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"1,520.00","2,320.00","1,920.00",Rs./Quintal,240.08,Metric Tonnes,01-07-2026
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Vegetables,Tomato,Hybrid,FAQ,"2,320.00","2,920.00","2,620.00",Rs./Quintal,32.48,Metric Tonnes,01-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,400.00","2,100.00","1,700.00",Rs./Quintal,130.50,Metric Tonnes,30-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,900.00,"1,400.00","1,200.00",Rs./Quintal,148.50,Metric Tonnes,29-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,900.00,"1,300.00","1,100.00",Rs./Quintal,141.00,Metric Tonnes,28-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,000.00","1,600.00","1,300.00",Rs./Quintal,43.80,Metric Tonnes,27-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,300.00","1,800.00","1,500.00",Rs./Quintal,108.00,Metric Tonnes,26-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,300.00","1,900.00","1,600.00",Rs./Quintal,107.10,Metric Tonnes,25-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,300.00","1,950.00","1,600.00",Rs./Quintal,106.50,Metric Tonnes,24-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,600.00","2,200.00","1,900.00",Rs./Quintal,106.30,Metric Tonnes,23-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,300.00","1,950.00","1,600.00",Rs./Quintal,103.50,Metric Tonnes,22-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,400.00","2,000.00","1,700.00",Rs./Quintal,105.90,Metric Tonnes,21-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,600.00","2,100.00","1,800.00",Rs./Quintal,22.50,Metric Tonnes,20-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,Local,"1,600.00","2,300.00","2,000.00",Rs./Quintal,100.70,Metric Tonnes,19-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Local,FAQ,"1,600.00","2,300.00","2,000.00",Rs./Quintal,810.00,Metric Tonnes,18-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,200.00","3,000.00","2,600.00",Rs./Quintal,63.00,Metric Tonnes,17-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,800.00","2,600.00","2,200.00",Rs./Quintal,73.50,Metric Tonnes,16-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,000.00","2,800.00","2,400.00",Rs./Quintal,79.70,Metric Tonnes,15-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,003.00","3,100.00","2,700.00",Rs./Quintal,84.30,Metric Tonnes,14-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,200.00","3,000.00","2,600.00",Rs./Quintal,26.70,Metric Tonnes,13-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,500.00","3,500.00","3,000.00",Rs./Quintal,82.80,Metric Tonnes,12-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,600.00","3,400.00","3,000.00",Rs./Quintal,64.10,Metric Tonnes,11-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"3,000.00","3,700.00","3,400.00",Rs./Quintal,71.30,Metric Tonnes,10-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"3,300.00","4,100.00","3,700.00",Rs./Quintal,77.60,Metric Tonnes,09-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,900.00,"1,450.00","1,200.00",Rs./Quintal,181.00,Metric Tonnes,08-07-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"3,600.00","4,400.00","4,000.00",Rs./Quintal,63.80,Metric Tonnes,08-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,900.00,"1,500.00","1,200.00",Rs./Quintal,161.30,Metric Tonnes,07-07-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"3,000.00","3,800.00","3,400.00",Rs./Quintal,71.30,Metric Tonnes,07-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,000.00","1,600.00","1,300.00",Rs./Quintal,133.50,Metric Tonnes,06-07-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,900.00,"1,250.00","1,100.00",Rs./Quintal,160.50,Metric Tonnes,05-07-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,600.00","3,500.00","3,000.00",Rs./Quintal,67.20,Metric Tonnes,05-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,900.00,"1,300.00","1,100.00",Rs./Quintal,80.30,Metric Tonnes,04-07-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,800.00","3,600.00","3,200.00",Rs./Quintal,49.50,Metric Tonnes,04-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,000.00","1,650.00","1,300.00",Rs./Quintal,166.50,Metric Tonnes,03-07-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,300.00","3,100.00","2,700.00",Rs./Quintal,64.80,Metric Tonnes,03-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,300.00","1,800.00","1,500.00",Rs./Quintal,135.00,Metric Tonnes,02-07-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,800.00","3,600.00","3,200.00",Rs./Quintal,64.50,Metric Tonnes,02-06-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"1,600.00","2,500.00","2,100.00",Rs./Quintal,159.80,Metric Tonnes,01-07-2026
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,Hybrid,FAQ,"2,600.00","3,500.00","3,000.00",Rs./Quintal,62.90,Metric Tonnes,01-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,100.00","2,600.00","2,400.00",Rs./Quintal,"1,270.00",Metric Tonnes,30-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,500.00","1,900.00","1,800.00",Rs./Quintal,"1,420.00",Metric Tonnes,29-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,300.00","1,700.00","1,600.00",Rs./Quintal,"1,630.00",Metric Tonnes,28-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,200.00","1,700.00","1,600.00",Rs./Quintal,"1,451.00",Metric Tonnes,27-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,300.00","1,800.00","1,600.00",Rs./Quintal,"1,486.00",Metric Tonnes,26-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","2,100.00","2,000.00",Rs./Quintal,"1,391.00",Metric Tonnes,25-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","2,100.00","2,000.00",Rs./Quintal,"1,410.00",Metric Tonnes,24-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","2,200.00","2,100.00",Rs./Quintal,"1,458.00",Metric Tonnes,23-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","2,300.00","2,100.00",Rs./Quintal,"1,340.00",Metric Tonnes,21-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","2,200.00","2,100.00",Rs./Quintal,"1,290.00",Metric Tonnes,20-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","2,200.00","2,100.00",Rs./Quintal,"1,181.00",Metric Tonnes,19-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,900.00","2,300.00","2,200.00",Rs./Quintal,"1,320.00",Metric Tonnes,18-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,100.00","2,800.00","2,500.00",Rs./Quintal,"1,160.00",Metric Tonnes,17-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,400.00","2,800.00","2,700.00",Rs./Quintal,"1,596.00",Metric Tonnes,16-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,400.00","2,800.00","2,700.00",Rs./Quintal,"1,650.00",Metric Tonnes,15-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,600.00","3,100.00","2,900.00",Rs./Quintal,"1,502.00",Metric Tonnes,14-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,700.00","3,200.00","3,000.00",Rs./Quintal,"1,438.00",Metric Tonnes,13-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,700.00","3,200.00","3,000.00",Rs./Quintal,"1,525.00",Metric Tonnes,12-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,800.00","3,400.00","3,200.00",Rs./Quintal,"1,598.00",Metric Tonnes,11-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,800.00","3,400.00","3,200.00",Rs./Quintal,"1,440.00",Metric Tonnes,10-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"3,400.00","4,000.00","3,900.00",Rs./Quintal,"1,260.00",Metric Tonnes,09-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,400.00","1,700.00","1,600.00",Rs./Quintal,"1,485.00",Metric Tonnes,08-07-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"3,500.00","4,200.00","3,900.00",Rs./Quintal,"1,003.00",Metric Tonnes,08-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,400.00","1,700.00","1,600.00",Rs./Quintal,"1,430.00",Metric Tonnes,07-07-2026
